DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2024-05-09 07:36:01,1,7,0,366.143,161.233,3.5,4348,15218,0,0,14,329.143
2024-05-09 07:36:03,1,7,0,280.714,10.278,3.5,4348,15218,0,0,3.286,274.714
2024-05-09 07:36:05,1,7,0,287.143,42.229,3.5,4348,15218,0,0,3.286,281.286
2024-05-09 07:36:07,1,7,0,298.143,15.094,3.5,4348,15218,0,0,3.571,289.714
2024-05-09 07:36:09,1,7,0,283.714,14.964,3.5,4348,15218,0,0,3.286,274.286
2024-05-09 07:36:11,1,7,0,292.429,6.863,3.5,4348,15218,0,0,3,285.143
2024-05-09 07:36:13,1,7,0,281,13.969,3.5,4348,15218,0,0,3.143,273.143
2024-05-09 07:36:15,1,7,0,289.143,19.533,3.5,4348,15218,0,0,3.143,280.571
2024-05-09 07:36:17,1,7,0,270.143,10.842,3.5,4348,15218,0,0,3.286,263.143
2024-05-09 07:36:20,1,7,0,286.143,19.164,3.5,4348,15218,0,0,5,276.857
2024-05-09 07:36:22,1,7,0,282.857,5.139,3.5,4348,15218,0,0,3.857,273.143
2024-05-09 07:36:24,1,7,0,291.571,10.363,3.5,4348,15218,0,0,3.714,285
2024-05-09 07:36:26,1,6,0,302.5,20.098,3,4348,13044,0,0,4,291.5
2024-05-09 07:36:28,1,7,0,294.857,17.496,3.5,4348,15218,0,0,3.143,281.714
2024-05-09 07:36:30,1,7,0,294.857,19.679,3.5,4348,15218,0,0,3.857,284.143
2024-05-09 07:36:32,1,7,0,285.429,14.529,3.5,4348,15218,0,0,3.286,279.143
2024-05-09 07:36:34,1,7,0,276.429,24.471,3.5,4348,15218,0,0,2.571,270.714
2024-05-09 07:36:36,1,7,0,285.429,13.168,3.5,4348,15218,0,0,4.857,275.571
2024-05-09 07:36:38,1,7,0,272.857,27.409,3.5,4348,15218,0,0,2.429,268.571
2024-05-09 07:36:40,1,2,0,654,284,1,4348,4348,0,0,4,636.5
