DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2024-05-09 08:02:36,20,51,0,690.275,374.835,25.5,4348,110874,0,0,138.765,515.059
2024-05-09 08:02:38,20,97,0,495.021,91.98,48.5,4348,210878,0,0,6.041,490.278
2024-05-09 08:02:41,20,61,0,535.689,47.541,30.5,4348,132614,0,0,4.869,530.492
2024-05-09 08:02:43,20,89,0,570.966,123.697,44.5,4348,193486,0,0,9.674,563.157
