DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2024-05-09 08:04:09,1,6,0,377.667,195.38,3,4348,13044,0,0,29.667,324.167
2024-05-09 08:04:11,1,8,0,318.75,31.372,4,4348,17392,0,0,5.75,305.875
2024-05-09 08:04:13,1,6,0,312.333,20.13,3,4348,13044,0,0,3.833,301.333
2024-05-09 08:04:15,1,7,0,308.571,22.846,3.5,4348,15218,0,0,3.429,297.857
2024-05-09 08:04:17,1,7,0,293.429,16.422,3.5,4348,15218,0,0,2.714,287.857
